date,open,high,low,close,volume,padding
2006-03-07,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-08,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-09,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-10,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-13,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-14,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-15,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-16,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-17,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-20,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-21,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-22,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-23,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-24,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-27,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-28,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-29,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-30,4.03,4.72,4.02,4.6,395343000.0,1
2006-03-31,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-03,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-04,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-05,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-06,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-07,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-10,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-11,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-12,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-13,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-17,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-18,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-19,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-20,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-21,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-24,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-25,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-26,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-27,4.03,4.72,4.02,4.6,395343000.0,1
2006-04-28,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-01,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-02,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-03,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-04,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-05,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-08,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-09,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-10,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-11,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-12,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-15,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-16,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-17,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-18,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-19,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-22,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-23,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-24,4.03,4.72,4.02,4.6,395343000.0,1
2006-05-25,4.03,4.72,4.02,4.6,395343000.0,0
2006-05-26,4.631,4.674,4.4110000000000005,4.493,103044000.0,0
2006-05-30,4.497,4.498,4.285,4.4,49898000.0,0
2006-05-31,4.435,4.5360000000000005,4.435,4.494,30002000.0,0
2006-06-01,4.493,4.81,4.49,4.751,62344000.0,0
2006-06-02,4.751,4.87,4.6789999999999985,4.699,37253000.0,0
2006-06-05,4.705,4.975,4.7,4.915,37188000.0,0
2006-06-06,4.961,5.063,4.78,4.83,49045000.0,0
2006-06-07,4.833,4.84,4.675,4.76,25013000.0,0
2006-06-08,4.725,4.772,4.55,4.772,34439000.0,0
2006-06-09,4.88,4.88,4.768,4.791,13372000.0,0
2006-06-12,4.794,4.825,4.63,4.695,14546000.0,0
2006-06-13,4.675,4.735,4.53,4.55,16716000.0,0
2006-06-14,4.527,4.545,4.444,4.512,15971000.0,0
2006-06-15,4.54,4.612,4.513,4.595,16500000.0,0
2006-06-16,4.595,4.6,4.5,4.502,12280000.0,0
2006-06-19,4.505,4.545,4.41,4.434,11509000.0,0
2006-06-20,4.474,4.5,4.347,4.402,23792000.0,0
2006-06-21,4.402,4.625,4.4,4.53,18063000.0,0
2006-06-22,4.64,4.7,4.588,4.66,13038000.0,0
2006-06-23,4.7,4.793,4.687,4.695,11612000.0,0
2006-06-26,4.7,4.75,4.643,4.75,8565000.0,0
2006-06-27,4.75,4.803,4.725,4.731,9826000.0,0
2006-06-28,4.685,4.74,4.65,4.6960000000000015,8756000.0,0
2006-06-29,4.695,4.809,4.695,4.8,14470000.0,0
2006-06-30,4.765,4.8,4.66,4.8,25964000.0,0
2006-07-03,4.79,4.8,4.681,4.73,7029000.0,0
2006-07-05,4.74,4.784,4.671,4.76,13266000.0,0
2006-07-06,4.7,4.735,4.6789999999999985,4.68,8097000.0,0
2006-07-07,4.675,4.685,4.575,4.612,8380000.0,0
2006-07-10,4.62,4.657,4.612,4.649,4978000.0,0
2006-07-11,4.649,4.649,4.53,4.635,8079000.0,0
2006-07-12,4.64,4.64,4.5539999999999985,4.555,7672000.0,0
2006-07-13,4.518,4.518,4.43,4.472,16625000.0,0
2006-07-14,4.462,4.468,4.39,4.395,9663000.0,0
2006-07-17,4.41,4.417,4.375,4.399,6458000.0,0
2006-07-18,4.399,4.41,4.367,4.39,12483000.0,0
2006-07-19,4.391,4.545,4.38,4.5280000000000005,15840000.0,0
2006-07-20,4.54,4.578,4.51,4.555,8829000.0,0
2006-07-21,4.555,4.555,4.477,4.5280000000000005,8510000.0,0
2006-07-24,4.545,4.553,4.499,4.5,5017000.0,0
2006-07-25,4.52,4.64,4.516,4.6080000000000005,6900000.0,0
2006-07-26,4.614,4.785,4.58,4.668,10338000.0,0
2006-07-27,4.69,4.717,4.652,4.652,6009000.0,0
2006-07-28,4.651,4.68,4.626,4.63,4339000.0,0
2006-07-31,4.63,4.641,4.586,4.587,4616000.0,0
2006-08-01,4.592,4.592,4.47,4.5,7390000.0,0
2006-08-02,4.8,5.005,4.731,5.002,53372000.0,0
2006-08-03,4.913,5.024,4.865,4.999,21689000.0,0
2006-08-04,5.03,5.15,4.999,5.005,14216000.0,0
2006-08-07,5.025,5.13,5.025,5.11,6918000.0,0
2006-08-08,5.11,5.267,5.105,5.2570000000000014,14073000.0,0
2006-08-09,5.3,5.45,5.2,5.285,15043000.0,0
2006-08-10,5.22,5.391,5.21,5.356,8725000.0,0
2006-08-11,5.35,5.445,5.325,5.3679999999999986,9078000.0,0
2006-08-14,5.375,5.454,5.352,5.422999999999999,6314000.0,0
2006-08-15,5.47,5.4929999999999986,5.426,5.449,8553000.0,0
2006-08-16,5.465,5.5429999999999975,5.416,5.4270000000000005,15344000.0,0
2006-08-17,5.42,5.424,5.319,5.346,10216000.0,0
2006-08-18,5.31,5.365,5.246,5.345,9343000.0,0
2006-08-21,5.33,5.555,5.28,5.426,12487000.0,0
2006-08-22,5.42,5.55,5.42,5.523,9761000.0,0
2006-08-23,5.547999999999999,5.575,5.454,5.46,10439000.0,0
2006-08-24,5.49,5.585,5.482,5.565,5420000.0,0
2006-08-25,5.575,5.585,5.4929999999999986,5.5,8016000.0,0
2006-08-28,5.485,5.545,5.477,5.502000000000002,3748000.0,0
2006-08-29,5.525,5.565,5.516,5.535,3211000.0,0
2006-08-30,5.547999999999999,5.5779999999999985,5.517,5.525,5801000.0,0
2006-08-31,5.525,5.617000000000001,5.525,5.59,7023000.0,0
2006-09-01,5.597,5.75,5.597,5.655,20559000.0,0
2006-09-05,5.69,5.724,5.625,5.685,4618000.0,0
2006-09-06,5.69,5.888,5.657,5.888,15694000.0,0
2006-09-07,5.851,6.0870000000000015,5.85,6.0120000000000005,26549000.0,0
2006-09-08,6.1,6.125,5.9289999999999985,5.975,15176000.0,0
2006-09-11,5.975,6.199,5.96,6.187,17064000.0,0
2006-09-12,6.099,6.215,6.099,6.21,16992000.0,0
2006-09-13,6.2,6.23,6.09,6.135,12355000.0,0
2006-09-14,6.085,6.325,6.07,6.279,13010000.0,0
2006-09-15,6.279,6.52,6.279,6.497000000000001,19314000.0,0
2006-09-18,6.574,6.755,6.43,6.5120000000000005,23656000.0,0
2006-09-19,6.5,6.615,6.43,6.484,17263000.0,0
2006-09-20,6.51,6.67,6.45,6.655,13476000.0,0
2006-09-21,6.752999999999999,6.96,6.7010000000000005,6.905,29063000.0,0
2006-09-22,6.9,6.95,6.507999999999999,6.593,29874000.0,0
2006-09-25,6.525,6.57,6.22,6.44,35677000.0,0
2006-09-26,6.34,6.733,6.276,6.6,39969000.0,0
2006-09-27,6.7,6.79,6.545,6.784,19633000.0,0
2006-09-28,6.765,6.891,6.765,6.865,13395000.0,0
2006-09-29,6.865,7.045,6.756,7.035,20056000.0,0
2006-10-02,7.035,7.035,6.966,6.996,17393000.0,0
2006-10-03,6.84,7.09,6.84,6.968,16733000.0,0
2006-10-04,7.0,7.041,6.875,6.9529999999999985,13679000.0,0
2006-10-05,6.978,7.29,6.901,7.258999999999999,25756000.0,0
2006-10-06,7.24,7.585,7.2010000000000005,7.515,35410000.0,0
2006-10-09,7.225,7.322999999999999,7.095,7.28,37084000.0,0
2006-10-10,7.115,7.325,7.05,7.191,26764000.0,0
2006-10-11,7.095,7.1,6.8279999999999985,6.95,35483000.0,0
2006-10-12,6.91,7.0820000000000025,6.872000000000001,7.041,15117000.0,0
2006-10-13,7.1,7.17,6.982,7.009,11321000.0,0
2006-10-16,7.0,7.171,6.985,7.13,8802000.0,0
2006-10-17,7.11,7.12,6.9270000000000005,6.95,9865000.0,0
2006-10-18,6.961,7.1179999999999986,6.954,7.045,8562000.0,0
2006-10-19,7.045,7.29,6.975,7.233,13414000.0,0
2006-10-20,7.28,7.285,7.1,7.122000000000001,5264000.0,0
2006-10-23,7.135,7.162000000000001,6.98,7.025,7389000.0,0
2006-10-24,7.015,7.15,6.992000000000001,7.12,8512000.0,0
2006-10-25,7.125,7.125,7.05,7.075,11349000.0,0
2006-10-26,7.085,7.4,6.989,7.22,21152000.0,0
2006-10-27,7.1,7.3,6.9,7.2639999999999985,26741000.0,0
2006-10-30,7.262,7.36,7.175,7.254,17471000.0,0
2006-10-31,7.228,7.625,7.194,7.41,35930000.0,0
2006-11-01,8.216000000000001,8.75,8.175,8.507,141283000.0,0
2006-11-02,8.31,8.808,8.25,8.76,62536000.0,0
2006-11-03,8.766,8.975,8.677,8.951,42476000.0,0
2006-11-06,9.0,9.714,8.999,9.63,97749000.0,0
2006-11-07,9.56,9.617,9.24,9.25,71623000.0,0
2006-11-08,9.15,9.2,8.805,8.844,64172000.0,0
2006-11-09,9.11,9.235,8.82,8.82,62982000.0,0
2006-11-10,8.863999999999997,9.05,8.776,8.92,27782000.0,0
2006-11-13,9.394,9.799,9.329,9.655,114166000.0,0
2006-11-14,9.68,9.724,9.439,9.52,38524000.0,0
2006-11-15,9.521,9.965,9.5,9.53,56606000.0,0
2006-11-16,9.6,9.72,9.39,9.452,35647000.0,0
2006-11-17,9.335,9.538,9.206,9.479,28516000.0,0
2006-11-20,9.398,9.621,9.372,9.619,22904000.0,0
2006-11-21,9.7,10.083,9.65,10.06,59494000.0,0
2006-11-22,10.175,10.393,10.082,10.326,42648000.0,0
2006-11-24,10.19,10.585,10.05,10.548,21600000.0,0
2006-11-27,10.6,10.86,9.899,9.899,73643000.0,0
2006-11-28,9.75,10.1,9.55,10.075,61511000.0,0
2006-11-29,10.238,10.268,9.685,9.92,48996000.0,0
2006-11-30,9.927,10.202,9.652,10.175,41254000.0,0
2006-12-01,10.222,10.245,9.909,10.117,35210000.0,0
2006-12-04,10.1,10.149,9.925,10.008,20276000.0,0
2006-12-05,9.975,10.225,9.9,9.925,21264000.0,0
2006-12-06,10.119,10.2,9.85,9.913,30071000.0,0
2006-12-07,9.93,10.093,9.862,9.968,21763000.0,0
2006-12-08,9.968,10.08,9.893,10.01,15976000.0,0
2006-12-11,10.01,10.224,9.894,9.91,30088000.0,0
2006-12-12,9.871,9.91,9.427,9.575,46602000.0,0
2006-12-13,9.68,9.765,9.503,9.577,18912000.0,0
2006-12-14,9.577,9.648,9.48,9.56,24111000.0,0
2006-12-15,9.632,9.633,9.535,9.619,14585000.0,0
2006-12-18,9.6,9.6,9.255,9.29,26059000.0,0
2006-12-19,9.245,9.752,9.05,9.74,31954000.0,0
2006-12-20,9.74,9.945,9.625,9.751,28211000.0,0
2006-12-21,9.581,9.635,9.389,9.571,31084000.0,0
2006-12-22,9.57,9.7,9.518,9.635,13194000.0,0
2006-12-26,9.65,9.675,9.438,9.514,10227000.0,0
2006-12-27,9.49,9.949,9.45,9.937,19987000.0,0
2006-12-28,9.936,9.979,9.756,9.896,22386000.0,0
2006-12-29,9.95,9.962,9.826,9.849,10887000.0,0
2007-01-03,9.955,9.968,9.563,9.641,26289000.0,0
2007-01-04,9.69,10.185,9.53,10.114,27024000.0,0
2007-01-05,10.099,10.22,9.9,10.106,29632000.0,0
2007-01-08,9.901,10.225,9.9,10.108,16006000.0,0
2007-01-09,10.11,10.575,10.06,10.565,36952000.0,0
2007-01-10,10.5,10.65,10.3,10.474,35099000.0,0
2007-01-11,10.55,10.803,10.354,10.55,37671000.0,0
2007-01-12,10.575,10.725,10.485,10.525,18233000.0,0
2007-01-16,10.53,10.747,10.463,10.6,18028000.0,0
2007-01-17,10.7,11.022,10.577,10.904000000000002,45903000.0,0
2007-01-18,10.995,10.999,10.18,10.249,42787000.0,0
2007-01-19,10.25,10.535,10.2,10.503,30029000.0,0
2007-01-22,10.599,10.8,10.45,10.761,21033000.0,0
2007-01-23,10.871,10.914,10.702,10.841,21414000.0,0
2007-01-24,10.89,11.308,10.87,11.142,31643000.0,0
2007-01-25,11.225,11.228,10.697,10.787,21785000.0,0
2007-01-26,10.919,10.988,10.65,10.852,17501000.0,0
2007-01-29,10.9,11.1,10.87,10.974,12105000.0,0
2007-01-30,10.964,11.161,10.924,11.075,11493000.0,0
2007-01-31,11.18,11.217,11.075,11.155,13665000.0,0
2007-02-01,11.214,11.298,11.161,11.192,16003000.0,0
2007-02-02,11.249,11.27,11.06,11.095999999999998,11290000.0,0
2007-02-05,11.05,11.095,10.989,11.025,9910000.0,0
2007-02-06,11.074000000000002,11.154000000000002,10.99,11.055,10621000.0,0
2007-02-07,11.05,11.263,11.033,11.19,21132000.0,0
2007-02-08,11.316,11.543,11.105,11.474,37535000.0,0
2007-02-09,11.807,11.807,9.963,10.36,282063000.0,0
2007-02-12,10.2,10.275,9.861,10.208,82177000.0,0
2007-02-13,10.4,10.504,10.286,10.469,73214000.0,0
2007-02-14,10.421,10.882,10.41,10.802,49005000.0,0
2007-02-15,10.8,10.88,10.709,10.804,34999000.0,0
2007-02-16,10.800999999999998,10.912,10.605,10.832,20471000.0,0
2007-02-20,10.832,10.85,10.654000000000002,10.782,19803000.0,0
2007-02-21,10.765,10.925,10.566,10.729,20648000.0,0
2007-02-22,10.79,10.9,10.511,10.59,21767000.0,0
2007-02-23,10.59,10.657,10.372,10.457,30432000.0,0
2007-02-26,10.482,10.6,10.35,10.406,11669000.0,0
2007-02-27,10.175,10.59,9.999,10.3,51236000.0,0
2007-02-28,10.299,10.73,10.201,10.718,35401000.0,0
2007-03-01,10.527,10.79,10.231,10.629,38166000.0,0
2007-03-02,10.54,10.75,10.281,10.306,18023000.0,0
2007-03-05,10.111,10.42,10.09,10.094,29906000.0,0
2007-03-06,10.278,10.470999999999998,10.244000000000002,10.399,31967000.0,0
2007-03-07,10.399,10.41,9.94,9.972,51432000.0,0
2007-03-08,10.05,10.34,9.928,10.276,63268000.0,0
2007-03-09,10.37,10.425,10.075,10.236,34646000.0,0
2007-03-12,10.201,10.35,10.139,10.325,20854000.0,0
2007-03-13,10.25,10.503,10.17,10.386,46278000.0,0
2007-03-14,10.371,10.62,10.235,10.55,35349000.0,0
2007-03-15,10.55,10.615,10.453,10.526,19609000.0,0
2007-03-16,10.52,10.593,10.474,10.527,15751000.0,0
2007-03-19,10.585,10.757,10.552,10.689,23120000.0,0
2007-03-20,10.7,10.791,10.64,10.749,16206000.0,0
2007-03-21,10.741,11.232,10.675999999999998,11.07,38077000.0,0
2007-03-22,11.1,11.1,10.9,10.957,13239000.0,0
2007-03-23,10.95,11.0,10.902,10.986,6348000.0,0
2007-03-26,10.87,10.925,10.755999999999998,10.848,17044000.0,0
2007-03-27,10.763,10.836,10.654000000000002,10.725,14708000.0,0
2007-03-28,10.63,10.793,10.58,10.668,14781000.0,0
2007-03-29,10.74,10.768,10.575,10.719,7855000.0,0
2007-03-30,10.735,10.8,10.584,10.624,7578000.0,0
2007-04-02,10.71,10.782,10.593,10.696,17479000.0,0
2007-04-03,10.855,10.94,10.811,10.838,15394000.0,0
2007-04-04,10.889,10.895,10.625,10.720999999999998,19401000.0,0
2007-04-05,10.755,10.834,10.74,10.800999999999998,5559000.0,0
2007-04-09,10.84,10.879,10.72,10.834,6124000.0,0
2007-04-10,11.05,11.14,10.777,11.001,26531000.0,0
2007-04-11,11.001,11.050999999999998,10.9,10.981,11034000.0,0
2007-04-12,10.956,11.022,10.885,10.982,7762000.0,0
2007-04-13,10.995,11.105,10.888,10.94,7612000.0,0
2007-04-16,11.0,11.018,10.853,10.94,12008000.0,0
2007-04-17,10.95,11.079,10.892,10.965,9546000.0,0
2007-04-18,10.955,11.004,10.907,10.921,8459000.0,0
2007-04-19,10.883,11.017,10.82,10.933,6797000.0,0
2007-04-20,11.03,11.088,10.929,11.01,11008000.0,0
2007-04-23,11.0,11.06,10.95,11.004,13499000.0,0
2007-04-24,10.993,11.007,10.764,10.81,11928000.0,0
2007-04-25,10.825,10.957,10.765,10.934,10207000.0,0
2007-04-26,10.948,11.05,10.804,10.856,9821000.0,0
2007-04-27,10.83,11.466,10.796,11.41,43062000.0,0
2007-04-30,11.425,11.797,11.147,11.168,38711000.0,0
2007-05-01,11.12,11.558,11.101,11.485,34290000.0,0
2007-05-02,12.6,13.015,12.43,12.635,160434000.0,0
2007-05-03,12.824000000000002,13.515,12.65,13.482,84794000.0,0
2007-05-04,13.58,13.595,13.204,13.466,44950000.0,0
2007-05-07,13.43,13.874,13.29,13.411,44291000.0,0
2007-05-08,13.43,13.719,13.35,13.705,32483000.0,0
2007-05-09,13.67,14.232,13.633,13.955,41856000.0,0
2007-05-10,14.061,14.324000000000002,13.8,13.882,49973000.0,0
2007-05-11,13.91,14.227,13.52,13.883,59698000.0,0
2007-05-14,13.884,13.959,13.459,13.535,39195000.0,0
2007-05-15,13.463,13.841,13.4,13.544,23010000.0,0
2007-05-16,13.544,13.677,13.353,13.619000000000002,21332000.0,0
2007-05-17,13.686,13.8,13.52,13.609000000000002,15159000.0,0
2007-05-18,13.653,13.829,13.489,13.805,24626000.0,0
2007-05-21,13.768,14.127,13.685,13.951,27556000.0,0
2007-05-22,14.092,14.095999999999998,13.824000000000002,13.873,16378000.0,0
2007-05-23,14.098,14.356,13.938,14.013,43780000.0,0
2007-05-24,14.09,14.162,13.758,13.898,29119000.0,0
2007-05-25,13.943,14.017,13.826,13.907,14528000.0,0
2007-05-29,14.209,14.599,14.102,14.406,58825000.0,0
2007-05-30,14.369000000000002,14.765999999999998,14.251,14.713,46089000.0,0
2007-05-31,14.854,15.331,14.800999999999998,14.955,54012000.0,0
2007-06-01,15.057,15.223,14.966,15.11,31536000.0,0
2007-06-04,14.975,15.172,14.966,15.125,14693000.0,0
2007-06-05,15.095,15.095,14.661,14.92,37777000.0,0
2007-06-06,14.84,14.84,14.581,14.702,22644000.0,0
2007-06-07,14.702,14.918,13.81,13.941,62604000.0,0
2007-06-08,13.906,14.714,13.518,14.358,66562000.0,0
2007-06-11,14.416,14.632,14.007,14.16,47441000.0,0
2007-06-12,14.17,14.624,14.07,14.531,50805000.0,0
2007-06-13,14.665,15.15,14.561,15.03,51915000.0,0
2007-06-14,15.07,15.269,14.809,15.029000000000002,30468000.0,0
2007-06-15,15.22,15.824000000000002,15.216,15.765,47955000.0,0
2007-06-18,15.957,16.482,15.823,16.462,61167000.0,0
2007-06-19,16.425,16.721,16.151,16.527,54075000.0,0
2007-06-20,16.7,16.94,16.278,16.346,59046000.0,0
2007-06-21,16.167,16.491,15.818,16.469,57840000.0,0
2007-06-22,16.5,16.843,16.421,16.843,46219000.0,0
2007-06-25,16.9,16.9,16.065,16.195,38693000.0,0
2007-06-26,16.35,16.537,16.000999999999998,16.182000000000002,44164000.0,0
2007-06-27,16.185,16.452,15.78,16.303,32075000.0,0
2007-06-28,16.313,16.573,16.124000000000002,16.477999999999998,19710000.0,0
2007-06-29,16.609,16.719,16.374000000000002,16.587,25935000.0,0
2007-07-02,16.55,16.749000000000002,16.5,16.618,27866000.0,0
2007-07-03,16.698,16.747,16.192,16.221,13224000.0,0
2007-07-05,16.276,16.395,16.063,16.171,17590000.0,0
2007-07-06,16.2,16.284000000000002,15.955,16.19,19056000.0,0
2007-07-09,16.2,16.437,16.01,16.122,19613000.0,0
2007-07-10,16.025,16.075,15.67,15.835,24125000.0,0
2007-07-11,15.899,15.985,15.558,15.635,30506000.0,0
2007-07-12,15.799,16.851,15.731,16.787,58223000.0,0
2007-07-13,16.78,17.46,16.602999999999998,16.921,63705000.0,0
2007-07-16,16.8,17.282,16.8,16.971,28161000.0,0
2007-07-17,17.159000000000002,17.236,16.803,16.924,19898000.0,0
2007-07-18,16.781,16.959,16.656,16.883,21465000.0,0
2007-07-19,17.096,17.25,16.737000000000002,16.743,38193000.0,0
2007-07-20,16.7,16.891,16.265,16.528,37079000.0,0
2007-07-23,16.55,16.9,16.542,16.76,16295000.0,0
2007-07-24,16.552,16.552,15.731,15.877,34124000.0,0
2007-07-25,16.0,16.379,15.783,16.11,36035000.0,0
2007-07-26,15.83,16.08,15.222,15.872,36319000.0,0
2007-07-27,15.857,15.99,15.2,15.403,24598000.0,0
2007-07-30,15.646,16.503,15.51,16.459,32945000.0,0
2007-07-31,16.762,17.052,16.0,16.08,35926000.0,0
2007-08-01,15.082,15.245,13.9,15.0,128976000.0,0
2007-08-02,14.7,14.78,13.93,14.262,56492000.0,0
2007-08-03,14.06,14.065,12.817,13.126,69662000.0,0
2007-08-06,13.211,13.848,12.345999999999998,13.762,86900000.0,0
2007-08-07,13.612,14.502,13.5,14.427,70508000.0,0
2007-08-08,14.584,15.0,14.4,14.802,47432000.0,0
2007-08-09,14.257,14.651,14.1,14.128,38111000.0,0
2007-08-10,13.93,13.995,13.351,13.84,43183000.0,0
2007-08-13,14.255999999999998,14.313,13.602,13.659,36105000.0,0
2007-08-14,13.475,13.644,13.14,13.352,37510000.0,0
2007-08-15,13.396,13.57,12.899,12.904000000000002,33143000.0,0
2007-08-16,12.699000000000002,13.966,12.0,13.0,72229000.0,0
2007-08-17,13.578,13.91,13.05,13.7,50876000.0,0
2007-08-20,13.957,14.106,13.630999999999998,13.79,28936000.0,0
2007-08-21,13.9,14.264,13.8,14.015999999999998,21066000.0,0
2007-08-22,14.25,14.547,14.133,14.482,26579000.0,0
2007-08-23,14.587,14.6,13.851,14.229,28979000.0,0
2007-08-24,14.225,14.225,13.817,13.983,21411000.0,0
2007-08-27,13.843,14.091,13.685,13.825,17320000.0,0
2007-08-28,13.643,13.75,13.01,13.212,43370000.0,0
2007-08-29,13.343,13.51,13.001,13.342,32859000.0,0
2007-08-30,13.135,13.445,13.025,13.247,21816000.0,0
2007-08-31,13.57,13.944,13.496,13.699000000000002,26836000.0,0
2007-09-04,13.827,13.99,13.615,13.824000000000002,18774000.0,0
2007-09-05,13.675,13.675,13.429,13.556,18708000.0,0
2007-09-06,13.797,13.798,13.406,13.477,14021000.0,0
2007-09-07,13.11,13.203,12.954,13.021,24775000.0,0
2007-09-10,13.072,13.196,12.663,12.970999999999998,26566000.0,0
2007-09-11,13.005,13.451,13.005,13.217,21414000.0,0
2007-09-12,13.25,13.736,13.111,13.683,20314000.0,0
2007-09-13,13.87,14.236,13.505999999999998,13.95,30850000.0,0
2007-09-14,13.778,13.899,13.577,13.785,17735000.0,0
2007-09-17,13.744000000000002,13.825,13.5,13.672,13905000.0,0
2007-09-18,13.818,14.894,13.58,14.581,51943000.0,0
2007-09-19,14.901,15.2,14.69,14.95,46679000.0,0
2007-09-20,15.0,15.15,14.812,14.951,19478000.0,0
2007-09-21,15.09,15.19,14.642,14.656,20380000.0,0
2007-09-24,14.75,14.762,13.885,14.226,51088000.0,0
2007-09-25,14.036,14.38,13.918,14.299,39858000.0,0
2007-09-26,14.297,14.439,14.0,14.285,27927000.0,0
2007-09-27,14.425999999999998,14.997,14.158,14.8,41029000.0,0
2007-09-28,14.682,15.223,14.523,14.797,45856000.0,0
2007-10-01,14.773,15.488,14.773,15.337,37139000.0,0
2007-10-02,15.474,15.524,15.163,15.298,19175000.0,0
2007-10-03,15.2,16.035,15.179,15.694,52716000.0,0
2007-10-04,15.769,16.339000000000002,15.765999999999998,16.155,32499000.0,0
2007-10-05,16.43,16.487000000000002,15.953,16.246,20242000.0,0
2007-10-08,16.3,16.389,15.874,16.236,18732000.0,0
2007-10-09,16.325,16.45,16.201,16.269000000000002,21574000.0,0
2007-10-10,16.248,16.724,16.2,16.482,35650000.0,0
2007-10-11,16.531,16.932000000000002,15.821,16.184,41314000.0,0
2007-10-12,16.262999999999998,16.495,16.166,16.320999999999998,17367000.0,0
2007-10-15,16.320999999999998,16.365,15.63,15.791,25584000.0,0
2007-10-16,15.639,15.7,15.416,15.56,22804000.0,0
2007-10-17,15.8,15.839,15.135,15.461,25717000.0,0
2007-10-18,15.325,15.546,15.1,15.372,18625000.0,0
2007-10-19,15.325,15.407,15.036,15.16,17249000.0,0
2007-10-22,14.999,15.368,14.536,14.659,55353000.0,0
2007-10-23,14.936,15.239,14.725,14.833,44903000.0,0
2007-10-24,14.8,14.8,14.315,14.73,33190000.0,0
2007-10-25,14.701,15.249,14.435,15.138,83902000.0,0
2007-10-26,15.399,15.968,15.399,15.703,28525000.0,0
2007-10-29,15.91,16.155,15.691,15.735,16100000.0,0
2007-10-30,15.806,15.833,15.368,15.715,30701000.0,0
2007-10-31,17.75,19.478,17.41,18.991,202782000.0,0
2007-11-01,18.606,19.855,18.535,18.948,96031000.0,0
2007-11-02,19.175,19.6,18.722,19.004,49532000.0,0
2007-11-05,18.561,19.056,18.231,18.593,41508000.0,0
2007-11-06,19.246,20.3,18.932,19.94,77781000.0,0
2007-11-07,19.9,20.198,19.421,19.948,51340000.0,0
2007-11-08,20.002,20.097,18.275,19.144,46869000.0,0
2007-11-09,18.5,19.95,18.4,19.3,43357000.0,0
2007-11-12,19.083,19.642,18.025,18.188,42963000.0,0
2007-11-13,18.342,19.223,18.342,18.881,30036000.0,0
2007-11-14,19.423,19.423,18.603,18.677,21584000.0,0
2007-11-15,18.5,18.847,18.21,18.488,20744000.0,0
2007-11-16,18.6,18.699,17.95,18.487,25890000.0,0
2007-11-19,18.287,18.698,17.85,18.19,24432000.0,0
2007-11-20,18.35,18.731,17.558,18.212,23650000.0,0
2007-11-21,17.845,18.4,17.65,18.092,24148000.0,0
2007-11-23,18.36,18.382,17.929000000000006,18.11,6567000.0,0
2007-11-26,18.375,18.848,18.112,18.121,25251000.0,0
2007-11-27,18.449,18.759,17.95,18.386,30418000.0,0
2007-11-28,18.669,19.81,18.6,19.56,53001000.0,0
