date,open,high,low,close,volume,padding
2006-03-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-08,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-09,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-10,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-14,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-15,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-16,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-17,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-22,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-23,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-24,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-29,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-30,11.61,13.39,11.6,12.9,6608700.0,1
2006-03-31,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-03,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-04,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-05,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-06,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-10,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-11,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-12,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-17,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-18,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-19,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-24,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-25,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-26,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-04-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-01,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-02,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-03,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-04,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-05,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-08,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-09,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-10,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-11,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-12,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-15,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-16,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-17,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-18,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-19,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-22,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-23,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-24,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-25,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-26,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-30,11.61,13.39,11.6,12.9,6608700.0,1
2006-05-31,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-01,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-02,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-05,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-06,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-08,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-09,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-12,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-14,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-15,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-16,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-19,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-22,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-23,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-26,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-29,11.61,13.39,11.6,12.9,6608700.0,1
2006-06-30,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-03,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-05,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-06,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-10,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-11,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-12,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-14,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-17,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-18,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-19,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-24,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-25,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-26,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-07-31,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-01,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-02,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-03,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-04,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-08,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-09,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-10,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-11,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-14,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-15,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-16,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-17,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-18,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-22,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-23,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-24,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-25,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-29,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-30,11.61,13.39,11.6,12.9,6608700.0,1
2006-08-31,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-01,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-05,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-06,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-08,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-11,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-12,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-14,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-15,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-18,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-19,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-22,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-25,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-26,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-09-29,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-02,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-03,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-04,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-05,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-06,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-09,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-10,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-11,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-12,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-16,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-17,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-18,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-19,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-23,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-24,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-25,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-26,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-30,11.61,13.39,11.6,12.9,6608700.0,1
2006-10-31,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-01,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-02,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-03,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-06,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-08,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-09,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-10,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-14,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-15,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-16,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-17,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-22,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-24,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-29,11.61,13.39,11.6,12.9,6608700.0,1
2006-11-30,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-01,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-04,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-05,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-06,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-07,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-08,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-11,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-12,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-13,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-14,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-15,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-18,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-19,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-20,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-21,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-22,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-26,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-27,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-28,11.61,13.39,11.6,12.9,6608700.0,1
2006-12-29,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-03,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-04,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-05,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-08,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-09,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-10,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-11,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-12,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-16,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-17,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-18,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-19,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-22,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-23,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-24,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-25,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-26,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-29,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-30,11.61,13.39,11.6,12.9,6608700.0,1
2007-01-31,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-01,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-02,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-05,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-06,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-07,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-08,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-09,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-12,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-13,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-14,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-15,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-16,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-20,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-21,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-22,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-23,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-26,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-27,11.61,13.39,11.6,12.9,6608700.0,1
2007-02-28,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-01,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-02,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-05,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-06,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-07,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-08,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-09,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-12,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-13,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-14,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-15,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-16,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-19,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-20,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-21,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-22,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-23,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-26,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-27,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-28,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-29,11.61,13.39,11.6,12.9,6608700.0,1
2007-03-30,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-02,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-03,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-04,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-05,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-09,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-10,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-11,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-12,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-13,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-16,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-17,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-18,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-19,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-20,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-23,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-24,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-25,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-26,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-27,11.61,13.39,11.6,12.9,6608700.0,1
2007-04-30,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-01,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-02,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-03,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-04,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-07,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-08,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-09,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-10,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-11,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-14,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-15,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-16,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-17,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-18,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-21,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-22,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-23,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-24,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-25,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-29,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-30,11.61,13.39,11.6,12.9,6608700.0,1
2007-05-31,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-01,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-04,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-05,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-06,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-07,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-08,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-11,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-12,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-13,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-14,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-15,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-18,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-19,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-20,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-21,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-22,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-25,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-26,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-27,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-28,11.61,13.39,11.6,12.9,6608700.0,1
2007-06-29,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-02,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-03,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-05,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-06,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-09,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-10,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-11,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-12,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-13,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-16,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-17,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-18,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-19,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-20,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-23,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-24,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-25,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-26,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-27,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-30,11.61,13.39,11.6,12.9,6608700.0,1
2007-07-31,11.61,13.39,11.6,12.9,6608700.0,1
2007-08-01,11.61,13.39,11.6,12.9,6608700.0,1
2007-08-02,11.61,13.39,11.6,12.9,6608700.0,1
2007-08-03,11.61,13.39,11.6,12.9,6608700.0,0
2007-08-06,13.0,13.23,12.07,12.7,796500.0,0
2007-08-07,12.64,12.9,12.37,12.6,450100.0,0
2007-08-08,12.65,13.0,12.52,12.88,225500.0,0
2007-08-09,12.45,13.1,12.27,12.94,131900.0,0
2007-08-10,12.72,13.2,12.61,12.81,236000.0,0
2007-08-13,12.91,13.206,12.9,13.07,240400.0,0
2007-08-14,13.45,13.49,12.81,13.01,45600.0,0
2007-08-15,12.99,13.1,12.6,12.88,298900.0,0
2007-08-16,12.6,12.732,12.5,12.7,78900.0,0
2007-08-17,12.49,13.0,12.49,13.0,297300.0,0
2007-08-20,12.89,12.89,12.45,12.75,88600.0,0
2007-08-21,12.7,13.0,12.56,12.9,280800.0,0
2007-08-22,12.99,12.99,12.5,12.63,158900.0,0
2007-08-23,12.51,12.99,12.5,12.9,351400.0,0
2007-08-24,12.83,13.0,12.77,12.99,40200.0,0
2007-08-27,12.99,13.1,12.6,13.1,104900.0,0
2007-08-28,13.16,13.2,12.76,12.76,17800.0,0
2007-08-29,12.76,13.2,12.76,12.77,47400.0,0
2007-08-30,12.61,12.85,12.54,12.54,38100.0,0
2007-08-31,12.69,12.82,12.53,12.69,22600.0,0
2007-09-04,12.68,13.8,12.5,13.75,154200.0,0
2007-09-05,13.77,15.0,13.1,14.55,451200.0,0
2007-09-06,14.53,14.78,13.95,14.5,73600.0,0
2007-09-07,14.5,14.7,14.25,14.5,93800.0,0
2007-09-10,14.53,15.29,14.5,14.83,358900.0,0
2007-09-11,14.84,15.95,14.84,15.2,126600.0,0
2007-09-12,15.29,15.5,15.1,15.22,216000.0,0
2007-09-13,15.34,15.56,15.22,15.55,459700.0,0
2007-09-14,15.55,16.0,15.47,15.89,210200.0,0
2007-09-17,15.84,15.9,15.65,15.7,517600.0,0
2007-09-18,15.59,15.91,15.25,15.4,391600.0,0
2007-09-19,15.3,15.7,15.0,15.7,72100.0,0
2007-09-20,15.74,15.91,15.65,15.85,44200.0,0
2007-09-21,15.94,16.32,15.75,16.13,489600.0,0
2007-09-24,16.23,16.44,16.02,16.17,214700.0,0
2007-09-25,16.14,16.14,15.65,15.65,67900.0,0
2007-09-26,16.0,16.39,16.0,16.1,301100.0,0
2007-09-27,16.17,16.38,15.15,15.42,203200.0,0
2007-09-28,15.3,15.5,14.81,14.81,1450100.0,0
2007-10-01,14.79,16.21,14.3,15.8,298900.0,0
2007-10-02,15.71,16.34,15.71,16.03,130600.0,0
2007-10-03,16.0,16.55,16.0,16.42,220100.0,0
2007-10-04,16.51,17.24,16.26,16.95,210800.0,0
2007-10-05,17.15,17.31,16.71,17.25,154600.0,0
2007-10-08,17.24,17.43,16.7,16.7,160600.0,0
2007-10-09,16.8,17.18,16.01,17.07,156500.0,0
2007-10-10,17.0,17.55,16.51,17.54,366300.0,0
2007-10-11,17.55,18.69,17.44,18.6,713200.0,0
2007-10-12,18.65,18.83,18.35,18.46,216600.0,0
2007-10-15,18.4,18.5,17.77,18.03,100000.0,0
2007-10-16,18.2,18.94,18.1,18.82,409000.0,0
2007-10-17,19.01,19.37,18.7,18.86,1175200.0,0
2007-10-18,19.06,19.74,18.945,19.73,117000.0,0
2007-10-19,19.68,20.07,19.31,19.65,242800.0,0
2007-10-22,19.58,20.5,19.33,19.56,165300.0,0
2007-10-23,19.75,20.0,19.11,19.95,374600.0,0
2007-10-24,20.0,20.18,19.31,20.16,103600.0,0
2007-10-25,19.51,19.98,19.5,19.74,242200.0,0
2007-10-26,20.03,21.75,19.71,21.37,149100.0,0
2007-10-29,21.8,22.3,20.87,21.99,196600.0,0
2007-10-30,21.65,22.17,20.35,20.46,146900.0,0
2007-10-31,20.8,20.8,19.23,19.49,201500.0,0
2007-11-01,19.45,20.08,19.0,19.92,196200.0,0
2007-11-02,19.98,20.0,19.28,19.94,120300.0,0
2007-11-05,19.97,20.22,19.74,19.78,270900.0,0
2007-11-06,19.65,19.78,18.65,19.4,91500.0,0
2007-11-07,19.54,19.99,18.775,19.01,246700.0,0
2007-11-08,19.0,19.1,18.67,18.89,140800.0,0
2007-11-09,18.82,18.82,18.3,18.56,155200.0,0
2007-11-12,18.09,18.47,17.12,18.12,163100.0,0
2007-11-13,18.13,18.4,17.31,18.4,122000.0,0
2007-11-14,18.9,18.9,17.46,17.6,95800.0,0
2007-11-15,17.65,18.56,17.541,18.5,280200.0,0
2007-11-16,18.5,18.92,18.0,18.54,190600.0,0
2007-11-19,18.47,18.78,17.98,18.07,61600.0,0
2007-11-20,18.09,19.68,17.9,19.65,198200.0,0
2007-11-21,19.76,21.3,19.66,20.57,293200.0,0
2007-11-23,20.53,21.869,20.53,21.24,121900.0,0
2007-11-26,21.38,21.53,19.82,19.93,152500.0,0
2007-11-27,20.23,21.45,18.79,19.09,258900.0,0
2007-11-28,18.52,19.27,18.0,18.76,293100.0,0
2007-11-29,19.13,19.17,18.73,18.79,53700.0,0
2007-11-30,19.06,19.19,18.5,18.86,99400.0,0
2007-12-03,18.77,19.1,18.44,18.55,72100.0,0
2007-12-04,18.27,18.62,18.1,18.13,85800.0,0
2007-12-05,18.24,18.6,17.72,17.79,277800.0,0
2007-12-06,17.61,19.29,17.26,19.27,346000.0,0
2007-12-07,17.99,18.6,17.34,17.41,212000.0,0
2007-12-10,17.4,17.63,16.7,17.61,247900.0,0
2007-12-11,17.66,18.22,17.52,17.88,235900.0,0
2007-12-12,18.38,18.6,17.79,18.54,272800.0,0
2007-12-13,18.2,18.42,18.0,18.19,348500.0,0
2007-12-14,18.05,19.27,18.02,19.0,3688100.0,0
2007-12-17,18.73,19.48,18.54,18.98,725400.0,0
2007-12-18,19.03,20.46,19.03,20.34,370500.0,0
2007-12-19,20.27,20.57,19.61,20.08,264300.0,0
2007-12-20,20.22,20.65,20.1,20.41,208300.0,0
2007-12-21,20.74,20.86,20.3,20.58,844800.0,0
